Time (s),ECT (uS/cm),Temperature (C)
743,258,76.5
744,258,76.5
745,258,76.5
746,258,76.5
747,258,76.5
748,258,76.4
749,258,76.5
750,258,76.5
751,258,76.4
752,258,76.4
753,258,76.5
754,258,76.4
755,258,76.4
756,258,76.5
757,258,76.4
758,258,76.4
759,258,76.4
760,258,76.4
761,258,76.4
762,258,76.4
763,258,76.4
764,258,76.4
765,258,76.4
766,258,76.4
767,258,76.4
768,258,76.4
769,258,76.4
770,258,76.4
771,258,76.4
772,258,76.4
773,258,76.4
774,258,76.4
775,258,76.4
776,258,76.4
777,258,76.4
778,258,76.4
779,258,76.4
780,258,76.4
781,258,76.4
782,258,76.4
783,258,76.4
784,258,76.4
785,258,76.4
786,258,76.4
787,258,76.4
788,258,76.4
789,258,76.4
790,258,76.4
791,258,76.4
792,258,76.4
793,258,76.4
794,258,76.4
795,258,76.4
796,258,76.4
797,258,76.4
798,258,76.4
799,258,76.4
800,258,76.4
801,258,76.4
802,258,76.4
803,258,76.4
804,258,76.4
805,258,76.4
806,258,76.4
807,258,76.4
808,258,76.4
809,258,76.4
810,258,76.4
811,258,76.4
812,258,76.4
813,258,76.4
814,258,76.4
815,258,76.4
816,258,76.4
817,258,76.4
818,258,76.4
819,258,76.4
820,258,76.4
821,258,76.4
822,258,76.5
823,258,76.4
824,258,76.4
825,258,76.4
826,258,76.4
827,258,76.4
828,258,76.4
829,258,76.4
830,258,76.4
831,258,76.4
832,258,76.4
833,258,76.4
834,258,76.4
835,258,76.4
836,258,76.4
837,258,76.4
838,258,76.4
839,258,76.4
840,258,76.4
841,258,76.4
842,258,76.4
843,258,76.4
844,258,76.4
845,258,76.4
846,258,76.4
847,258,76.4
848,258,76.4
849,258,76.4
850,258,76.4
851,258,76.4
852,258,76.4
853,258,76.4
854,258,76.4
855,258,76.4
856,258,76.4
857,258,76.4
858,258,76.4
859,258,76.4
860,258,76.4
